model,data_source,k,task_a,task_b,jaccard
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,ceo_lastname,headquarters_city,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,ceo_lastname,headquarters_state,0.650000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,ceo_lastname,holder_record_amount,0.630000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,ceo_lastname,incorporation_state,0.620000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,ceo_lastname,incorporation_year,0.610000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,ceo_lastname,registrant_name,0.610000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,employees_count_total,headquarters_city,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,employees_count_total,headquarters_state,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,employees_count_total,holder_record_amount,0.660000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,employees_count_total,incorporation_state,0.630000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,employees_count_total,incorporation_year,0.620000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,employees_count_total,registrant_name,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_city,headquarters_state,0.950000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_city,holder_record_amount,0.620000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_city,incorporation_state,0.750000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_city,incorporation_year,0.730000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_city,registrant_name,0.750000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_state,holder_record_amount,0.610000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_state,incorporation_state,0.770000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_state,incorporation_year,0.720000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,headquarters_state,registrant_name,0.740000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,holder_record_amount,incorporation_state,0.630000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,holder_record_amount,incorporation_year,0.610000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,holder_record_amount,registrant_name,0.590000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,incorporation_state,incorporation_year,0.880000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,incorporation_state,registrant_name,0.720000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,incorporation_year,registrant_name,0.670000
Llama-3.1-8B,derived_from_local_topk_rankings,8,ceo_lastname,employees_count_total,0.600000
Llama-3.1-8B,derived_from_local_topk_rankings,8,ceo_lastname,headquarters_city,0.333333
Llama-3.1-8B,derived_from_local_topk_rankings,8,ceo_lastname,headquarters_state,0.333333
Llama-3.1-8B,derived_from_local_topk_rankings,8,ceo_lastname,holder_record_amount,0.230769
Llama-3.1-8B,derived_from_local_topk_rankings,8,ceo_lastname,incorporation_state,0.333333
Llama-3.1-8B,derived_from_local_topk_rankings,8,ceo_lastname,incorporation_year,0.333333
Llama-3.1-8B,derived_from_local_topk_rankings,8,ceo_lastname,registrant_name,0.454545
Llama-3.1-8B,derived_from_local_topk_rankings,8,employees_count_total,headquarters_city,0.333333
Llama-3.1-8B,derived_from_local_topk_rankings,8,employees_count_total,headquarters_state,0.454545
Llama-3.1-8B,derived_from_local_topk_rankings,8,employees_count_total,holder_record_amount,0.230769
Llama-3.1-8B,derived_from_local_topk_rankings,8,employees_count_total,incorporation_state,0.333333
Llama-3.1-8B,derived_from_local_topk_rankings,8,employees_count_total,incorporation_year,0.333333
Llama-3.1-8B,derived_from_local_topk_rankings,8,employees_count_total,registrant_name,0.454545
Llama-3.1-8B,derived_from_local_topk_rankings,8,headquarters_city,headquarters_state,0.600000
